timestamp,source_ip,source_port,destination_ip,destination_port,l4_proto,l2_proto,l7_proto
1716822587.554104,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822587.554179,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822587.626391,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822587.627426,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822587.627426,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822587.627557,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822589.446524,192.168.1.66,5353,224.0.0.251,5353,UDP,2048,DNS
1716822590.646551,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822590.646632,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822590.719368,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822590.71969,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822590.71969,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822590.719815,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822591.09613,192.168.1.66,58695,207.194.175.50,80,TCP,2048,HTTP
1716822591.097918,207.194.175.50,80,192.168.1.66,58695,TCP,2048,nil
1716822591.800189,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822591.800252,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822591.871743,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822591.872696,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822591.872696,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822591.872794,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822592.66761,192.168.1.66,59625,35.186.227.140,443,TCP,2048,nil
1716822592.674529,35.186.227.140,443,192.168.1.66,59625,TCP,2048,nil
1716822592.729242,192.168.1.66,59625,35.186.227.140,443,TCP,2048,nil
1716822592.887848,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822592.887914,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822592.960164,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822592.960869,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822592.960869,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822592.961006,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822593.629937,192.168.1.66,,1.1.1.1,,,2048,nil
1716822593.633498,1.1.1.1,,192.168.1.66,,,2048,nil
1716822593.973413,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822593.973472,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822594.044953,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822594.047137,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822594.047137,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822594.047244,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822594.645166,192.168.1.66,,1.1.1.1,,,2048,nil
1716822594.648536,1.1.1.1,,192.168.1.66,,,2048,nil
1716822595.052582,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822595.052626,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822595.124032,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822595.125004,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822595.125004,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822595.125079,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822595.639017,192.168.1.254,,224.0.0.1,,,2048,nil
1716822595.659604,192.168.1.66,,224.0.0.251,,,2048,nil
1716822595.659644,192.168.1.66,,1.1.1.1,,,2048,nil
1716822595.662573,1.1.1.1,,192.168.1.66,,,2048,nil
1716822595.721717,192.168.1.66,59662,142.251.211.228,443,TCP,2048,nil
1716822595.721722,192.168.1.66,59772,142.251.211.228,443,TCP,2048,nil
1716822595.726641,142.251.211.228,443,192.168.1.66,59772,TCP,2048,nil
1716822595.727619,142.251.211.228,443,192.168.1.66,59662,TCP,2048,nil
1716822595.767212,192.168.1.66,59772,142.251.211.228,443,TCP,2048,nil
1716822595.782711,192.168.1.66,59662,142.251.211.228,443,TCP,2048,nil
1716822596.671463,192.168.1.66,,1.1.1.1,,,2048,nil
1716822596.674623,1.1.1.1,,192.168.1.66,,,2048,nil
1716822596.732987,192.168.1.66,58695,207.194.175.50,80,TCP,2048,nil
1716822596.735692,207.194.175.50,80,192.168.1.66,58695,TCP,2048,nil
1716822596.735753,192.168.1.66,58695,207.194.175.50,80,TCP,2048,nil
1716822597.187209,162.247.241.2,443,192.168.1.66,58562,TCP,2048,nil
1716822597.187326,192.168.1.66,58562,162.247.241.2,443,TCP,2048,nil
1716822597.273765,192.168.1.77,,224.0.0.251,,,2048,nil
1716822597.274031,192.168.1.77,5353,224.0.0.251,5353,UDP,2048,DNS
1716822597.676686,162.247.241.2,443,192.168.1.66,58582,TCP,2048,nil
1716822597.676746,192.168.1.66,58582,162.247.241.2,443,TCP,2048,nil
1716822597.742896,192.168.1.66,59804,34.98.75.36,443,TCP,2048,nil
1716822597.743059,192.168.1.66,59805,34.160.144.191,443,TCP,2048,nil
1716822597.743191,192.168.1.66,59803,35.244.181.201,443,TCP,2048,nil
1716822597.748705,34.98.75.36,443,192.168.1.66,59804,TCP,2048,nil
1716822597.749695,35.244.181.201,443,192.168.1.66,59803,TCP,2048,nil
1716822597.749695,34.160.144.191,443,192.168.1.66,59805,TCP,2048,nil
1716822597.789215,192.168.1.66,59804,34.98.75.36,443,TCP,2048,nil
1716822597.804503,192.168.1.66,59803,35.244.181.201,443,TCP,2048,nil
1716822597.804563,192.168.1.66,59805,34.160.144.191,443,TCP,2048,nil
1716822598.297166,192.168.1.77,5353,224.0.0.251,5353,UDP,2048,DNS
1716822598.319045,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822598.319102,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822598.392067,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822598.392385,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822598.392385,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822598.392478,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822598.455121,13.107.42.18,443,192.168.1.66,59779,TCP,2048,nil
1716822598.751998,192.168.1.66,59648,34.120.237.76,443,TCP,2048,nil
1716822598.757755,34.120.237.76,443,192.168.1.66,59648,TCP,2048,nil
1716822598.797926,192.168.1.66,59648,34.120.237.76,443,TCP,2048,nil
1716822599.41057,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822599.410625,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822599.482567,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822599.483499,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822599.483499,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822599.483598,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822600.500231,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822600.500318,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822600.572531,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822600.57363,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822600.57363,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822600.573761,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822601.592542,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822601.59263,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822601.664835,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822601.665782,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822601.665782,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822601.665874,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822602.034178,13.107.6.175,443,192.168.1.66,59788,TCP,2048,nil
1716822602.684755,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822602.684821,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822602.756858,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822602.757815,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822602.757815,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716822602.75789,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716822603.163476,192.168.1.66,,224.0.0.252,,,2048,nil
1716822603.461554,192.168.1.254,49342,192.168.1.66,5353,UDP,2048,DNS
1716822603.461554,192.168.1.254,49141,192.168.1.66,137,UDP,2048,nil
1716822603.461811,192.168.1.66,5353,192.168.1.254,49342,UDP,2048,DNS
1716822603.461816,192.168.1.66,137,192.168.1.254,49141,UDP,2048,nil
1716822603.618707,192.168.1.66,58703,192.168.1.254,53,UDP,2048,DNS
1716822603.626716,192.168.1.254,53,192.168.1.66,58703,UDP,2048,DNS
1716822603.826909,192.168.1.254,5355,224.0.0.252,5355,UDP,2048,nil
